Material_ID,Formula,Band_Gap,Energy_per_Atom,Formation_Energy_per_Atom
mp-1244945,SiO2,5.016999999999999,-8.259020583333333,-3.15194057
mp-1244965,SiO2,1.5998,-8.196538689803921,-3.089458676470588
mp-1244968,SiO2,2.9151,-8.127813710882354,-3.020733697549019
mp-1245026,SiO2,1.9065,-8.215632027156863,-3.108552013823529
mp-1391176,SiO4,0.1484,-5.563840684,-0.520408273999999
mp-1398433,SiO2,0.0,-3.71263648,1.394443533333332
mp-556788,SiO2,4.7965,-8.1328629025,-3.025782889166667
mp-556994,SiO2,5.3836,-8.291633589166667,-3.184553575833334
mp-556985,SiO2,5.6098,-8.32682709,-3.219747076666666
mp-557004,SiO2,5.5806000000000004,-8.35906950888889,-3.251989495555557
mp-556588,SiO2,4.0078,-8.071059518333334,-2.9639795049999993
mp-557873,SiO2,5.6607,-8.314388378333332,-3.207308364999999
mp-556319,SiO2,5.2035,-8.252137914166665,-3.145057900833333
mp-556880,SiO2,5.0612,-8.2283166,-3.121236586666666
mp-663422,SiO2,4.3608,-8.163978284166665,-3.056898270833333
mp-685105,SiO4,0.38920000000000005,-6.204206068,-1.160773658
mp-685184,SiO2,0.0,-7.97454523588889,-2.867465222555556
mp-733790,SiO2,5.5868,-8.37333785972222,-3.266257846388887
mp-936187,SiO4,0.0,-4.667933372666667,0.375499037333332
mp-560708,SiO2,5.819199999999999,-8.3645606625,-3.257480649166666
mp-559360,SiO2,5.7962,-8.3628137575,-3.255733744166666
mp-557894,SiO2,5.9287,-8.358395628541667,-3.2513156152083322
mp-560152,SiO2,5.6007,-8.276285574375,-3.169205561041666
mp-600001,SiO2,5.7968,-8.343289207,-3.236209193666667
mp-561291,SiO2,5.2477,-8.228157815,-3.121077801666666
mp-558200,SiO2,5.642899999999999,-8.307292087083333,-3.20021207375
mp-639682,SiO2,5.7946,-8.345149994666667,-3.238069981333334
mp-600067,SiO2,5.8489,-8.346470465119047,-3.239390451785713
mp-644923,SiO2,5.72,-8.363062254791666,-3.255982241458333
mp-1179488,SiO2,0.141899999999999,-7.279516080952381,-2.172436067619048
mp-1199998,SiO2,5.5867,-8.353463299824561,-3.246383286491228
mp-1248957,SiO2,5.7415,-8.358331428541666,-3.251251415208333
mp-1249637,SiO2,5.6978,-8.359850142559523,-3.25277012922619
mp-18280,SiO2,5.7361,-8.36411376361111,-3.257033750277777
mp-17279,SiO2,5.7151,-8.359571382708333,-3.252491369375001
mp-34150,SiO2,0.921899999999999,-8.032937410625,-2.925857397291666
mp-558564,SiO2,5.683,-8.314411589444445,-3.207331576111112
mp-558301,SiO2,5.6614,-8.167376876875,-3.060296863541667
mp-558351,SiO2,5.626799999999999,-8.35973999,-3.252659976666665
mp-662706,SiO2,5.611800000000001,-8.36553570845238,-3.258455695119047
mp-615993,SiO2,5.5053,-8.362427325,-3.2553473116666662
mp-667383,SiO2,5.5383,-8.365796423690476,-3.258716410357143
mp-680204,SiO2,5.6096,-8.365960794848483,-3.25888078151515
mp-557930,SiO2,5.8743,-8.347921994583333,-3.24084198125
mp-560131,SiO2,5.7724,-8.282490830416666,-3.175410817083333
mp-546794,SiO2,5.689599999999999,-8.374263906666666,-3.267183893333333
mp-600006,SiO2,5.523499999999999,-8.3457588985,-3.238678885166666
mp-638038,SiO2,0.0,-7.1277621149999995,-2.020682101666666
mp-2374583,SiO2,5.0006,-8.220262980833333,-3.1131829675000002
mp-560754,SiO2,1.359999999999999,-7.845271967708332,-2.738191954374999
mp-557017,SiO2,2.5295,-7.853220760416666,-2.746140747083333
mp-600076,SiO2,5.5245,-8.346097506583334,-3.239017493250001
mp-556564,SiO2,0.30200000000000005,-7.2899111208333345,-2.1828311075
mp-1203655,SiO2,5.4771,-8.349139429375,-3.242059416041667
mp-558203,SiO2,6.021100000000001,-8.291007443333333,-3.183927429999999
mp-558947,SiO2,5.7972,-8.364486729652777,-3.2574067163194442
mp-600015,SiO2,5.8166,-8.360698042222221,-3.253618028888889
mp-600072,SiO2,5.8422,-8.360302458958333,-3.253222445625
mp-545488,SiO2,0.334499999999999,-7.676749337499999,-2.569669324166666
mp-560155,SiO2,5.8378,-8.352796545555556,-3.245716532222223
mp-554755,SiO2,5.606400000000001,-8.356558924270834,-3.2494789109375
mp-639480,SiO2,5.6227,-8.34390342388889,-3.236823410555556
mp-600002,SiO2,5.4674,-8.357677480833333,-3.2505974675
mp-600080,SiO2,5.6971,-8.351810187760416,-3.244730174427083
mp-554665,SiO2,5.0136,-8.17499388875,-3.067913875416666
mp-559347,SiO2,5.3784,-8.361268253541667,-3.254188240208333
mp-555556,SiO2,5.774,-8.364001525208334,-3.2569215118750012
mp-6947,SiO2,5.0337,-8.178200243333333,-3.071120229999999
mp-600109,SiO2,5.5665,-8.349604332222222,-3.242524318888889
mp-1179454,SiO2,5.5301,-8.361072283333334,-3.25399227
mp-555211,SiO2,5.6913,-8.360275813125,-3.253195799791667
mp-639734,SiO2,5.449199999999999,-8.358704870833334,-3.2516248575
mp-600085,SiO2,5.6023,-8.356113808333333,-3.249033795
mp-600003,SiO2,5.5474,-8.365457652916666,-3.2583776395833333
mp-639511,SiO2,5.7277000000000005,-8.358818169583333,-3.25173815625
mp-1200292,SiO2,5.700699999999999,-8.363988411215278,-3.256908397881944
mp-1201738,SiO2,5.5295,-8.328358454583332,-3.22127844125
mp-1268079,SiO2,5.6869,-8.359387838697916,-3.252307825364583
